,Unnamed: 0,"Region, subregion, country or area *",0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,weighted_fatality,population,country
62,62,84017125,1589.721,1750.029,1816.824,1803.4650000000001,1696.593,1763.3880000000001,1522.9260000000002,895.053,521.001,0.03,13359,84017125
63,63,84017127,1638.868,1804.132,1872.9920000000002,1859.22,1749.044,1817.904,1570.008,922.724,537.108,0.03,13772,84017127
64,64,84017129,1451.3239999999998,1597.6760000000002,1658.6560000000002,1646.46,1548.892,1609.872,1390.344,817.1320000000001,475.644,0.03,12196,84017129
65,65,84017131,1837.003,2022.247,2099.4320000000002,2083.9950000000003,1960.499,2037.6840000000002,1759.818,1034.279,602.043,0.03,15437,84017131
66,66,84017133,4121.803,4537.447,4710.6320000000005,4675.995,4398.899,4572.084,3948.618,2320.679,1350.843,0.03,34637,84017133
67,67,84017135,3381.2659999999996,3722.2340000000004,3864.304,3835.8900000000003,3608.578,3750.648,3239.196,1903.738,1108.146,0.03,28414,84017135
68,68,84017137,4005.3019999999997,4409.198,4577.488,4543.83,4274.566,4442.856,3837.012,2255.0860000000002,1312.662,0.03,33658,84017137
69,69,84017139,1725.619,1899.631,1972.1360000000002,1957.6350000000002,1841.627,1914.132,1653.114,971.567,565.539,0.03,14501,84017139
70,70,84017141,6026.517,6634.233,6887.448,6836.805,6431.661,6684.876,5773.302000000001,3393.081,1975.077,0.03,50643,84017141
71,71,84017143,21322.301,23472.449,24368.344,24189.165,22755.733,23651.628,20426.406,12004.993,6987.981,0.03,179179,84017143
72,72,84017145,2489.004,2739.996,2844.576,2823.6600000000003,2656.332,2760.9120000000003,2384.424,1401.372,815.724,0.03,20916,84017145
73,73,84017147,1944.936,2141.0640000000003,2222.784,2206.44,2075.688,2157.408,1863.2160000000001,1095.048,637.416,0.03,16344,84017147
74,74,84017149,1851.759,2038.491,2116.2960000000003,2100.735,1976.247,2054.052,1773.954,1042.587,606.879,0.03,15561,84017149
75,75,84017151,497.063,547.187,568.072,563.895,530.479,551.364,476.178,279.85900000000004,162.903,0.03,4177,84017151
76,76,84017153,634.865,698.885,725.5600000000001,720.225,677.545,704.22,608.19,357.445,208.065,0.03,5335,84017153
77,77,84017155,682.9409999999999,751.8090000000001,780.504,774.7650000000001,728.8530000000001,757.548,654.246,384.51300000000003,223.821,0.03,5739,84017155
78,78,84017157,3782.058,4163.442,4322.352,4290.570000000001,4036.314,4195.224,3623.148,2129.3940000000002,1239.498,0.03,31782,84017157
79,79,84017159,1846.047,2032.203,2109.768,2094.255,1970.151,2047.7160000000001,1768.482,1039.371,605.007,0.03,15513,84017159
80,80,84017161,16883.601,18586.149,19295.544,19153.665,18018.633,18728.028000000002,16174.206,9505.893,5533.281,0.03,141879,84017161
81,81,84017163,30902.634,34018.866,35317.296,35057.61,32980.122,34278.552,29604.204,17398.962,10127.754,0.03,259686,84017163
82,82,84017165,2795.429,3077.321,3194.7760000000003,3171.2850000000003,2983.357,3100.8120000000004,2677.974,1573.8970000000002,916.149,0.03,23491,84017165
83,83,84017167,23165.968,25502.032,26475.392000000003,26280.72,24723.344,25696.704,22192.608,13043.024000000001,7592.208,0.03,194672,84017167
84,84,84017169,805.3919999999999,886.6080000000001,920.4480000000001,913.6800000000001,859.5360000000001,893.3760000000001,771.552,453.456,263.952,0.03,6768,84017169
85,85,84017171,589.169,648.581,673.336,668.385,628.777,653.532,564.414,331.71700000000004,193.089,0.03,4951,84017171
86,86,84017173,2574.446,2834.054,2942.224,2920.59,2747.518,2855.688,2466.2760000000003,1449.478,843.726,0.03,21634,84017173
87,87,84017175,635.698,699.802,726.5120000000001,721.1700000000001,678.434,705.144,608.988,357.91400000000004,208.338,0.03,5342,84017175
88,88,84017177,5295.262,5829.238,6051.728,6007.2300000000005,5651.246,5873.736,5072.772,2981.366,1735.422,0.03,44498,84017177
89,89,84017179,15684.556999999999,17266.193,17925.208000000002,17793.405000000002,16738.981,17397.996,15025.542000000001,8830.801000000001,5140.317,0.03,131803,84017179
90,90,84017181,1981.7069999999999,2181.543,2264.808,2248.155,2114.931,2198.196,1898.442,1115.751,649.467,0.03,16653,84017181
91,91,84017183,9015.202,9924.298,10303.088000000002,10227.33,9621.266,10000.056,8636.412,5075.786,2954.562,0.03,75758,84017183
92,92,84017185,1370.8799999999999,1509.1200000000001,1566.72,1555.2,1463.04,1520.64,1313.28,771.84,449.28,0.03,11520,84017185
93,93,84017187,2004.436,2206.5640000000003,2290.784,2273.94,2139.188,2223.408,1920.2160000000001,1128.548,656.916,0.03,16844,84017187
94,94,84017189,1652.5529999999999,1819.1970000000001,1888.632,1874.7450000000001,1763.6490000000001,1833.084,1583.1180000000002,930.4290000000001,541.593,0.03,13887,84017189
95,95,84017191,1929.5849999999998,2124.165,2205.2400000000002,2189.025,2059.305,2140.38,1848.51,1086.405,632.385,0.03,16215,84017191
96,96,84017193,1610.903,1773.347,1841.0320000000002,1827.4950000000001,1719.199,1786.884,1543.218,906.979,527.943,0.03,13537,84017193
97,97,84017195,6565.825,7227.925,7503.8,7448.625000000001,7007.225,7283.1,6289.95,3696.7250000000004,2151.825,0.03,55175,84017195
98,98,84017197,82198.417,90487.333,93941.04800000001,93250.30500000001,87724.361,91178.076,78744.702,46279.781,26938.977,0.03,690743,84017197
99,99,84017199,7925.043,8724.207,9057.192000000001,8990.595000000001,8457.819,8790.804,7592.058,4461.999000000001,2597.283,0.03,66597,84017199
100,100,84017201,33626.068,37016.932,38429.792,38147.22,35886.644,37299.504,32213.208000000002,18932.324,11020.307999999999,0.03,282572,84017201
101,101,84017203,4576.621,5038.129,5230.424,5191.965,4884.293,5076.588000000001,4384.326,2576.753,1499.901,0.03,38459,84017203
