date,state,county,categoryid,categoryname,demo,visits,avgDuration,p50Duration
2020-02-02,Illinois,,Group,Big Box Stores,All,1014305.0,35.0,22.0
2020-02-02,Illinois,,Group,Big Box Stores,Below65,972321.0,35.0,
2020-02-02,Illinois,,Group,Bus,Above65,3476.0,31.0,
2020-02-02,Illinois,,Group,Bus,All,68015.0,56.0,10.0
2020-02-02,Illinois,,Group,Bus,Below65,64539.0,57.0,
2020-02-02,Illinois,,Group,Colleges & Universities,Above65,10935.0,84.0,
2020-02-02,Illinois,,Group,Colleges & Universities,All,345026.0,107.0,47.0
2020-02-02,Illinois,,Group,Colleges & Universities,Below65,334091.0,107.0,
2020-02-02,Illinois,,Group,Convenience Store,Above65,15761.0,26.0,
2020-02-02,Illinois,,Group,Convenience Store,All,352046.0,36.0,6.0
2020-02-02,Illinois,,Group,Convenience Store,Below65,336286.0,36.0,
2020-02-02,Illinois,,Group,Discount Stores,Above65,14478.0,25.0,
2020-02-02,Illinois,,Group,Discount Stores,All,301977.0,34.0,11.0
2020-02-02,Illinois,,Group,Discount Stores,Below65,287498.0,34.0,
2020-02-02,Illinois,,Group,Drug Store,Above65,25980.0,25.0,
2020-02-02,Illinois,,Group,Drug Store,All,474987.0,27.0,9.0
2020-02-02,Illinois,,Group,Drug Store,Below65,449007.0,27.0,
2020-02-02,Illinois,,Group,Fast Food Restaurants,Above65,47856.0,32.0,
2020-02-02,Illinois,,Group,Fast Food Restaurants,All,976917.0,26.0,7.0
2020-02-02,Illinois,,Group,Fast Food Restaurants,Below65,929061.0,25.0,
2020-02-02,Illinois,,Group,Fitness Center,Above65,16627.0,63.0,
2020-02-02,Illinois,,Group,Fitness Center,All,392931.0,78.0,58.0
2020-02-02,Illinois,,Group,Fitness Center,Below65,376304.0,79.0,
2020-02-02,Illinois,,Group,Food,Above65,229306.0,56.0,
2020-02-02,Illinois,,Group,Food,All,4649633.0,61.0,24.0
2020-02-02,Illinois,,Group,Food,Below65,4420327.0,61.0,
2020-02-02,Illinois,,Group,Gas Stations,Above65,46524.0,27.0,
2020-02-02,Illinois,,Group,Gas Stations,All,967203.0,34.0,6.0
2020-02-02,Illinois,,Group,Gas Stations,Below65,920678.0,35.0,
2020-02-02,Illinois,,Group,Government,Above65,6504.0,68.0,
2020-02-02,Illinois,,Group,Government,All,160427.0,85.0,23.0
2020-02-02,Illinois,,Group,Government,Below65,153923.0,86.0,
2020-02-02,Illinois,,Group,Grocery,Above65,128507.0,26.0,
2020-02-02,Illinois,,Group,Grocery,All,2096532.0,30.0,16.0
2020-02-02,Illinois,,Group,Grocery,Below65,1968025.0,30.0,
2020-02-02,Illinois,,Group,Hardware Stores,Above65,24333.0,28.0,
2020-02-02,Illinois,,Group,Hardware Stores,All,381847.0,33.0,16.0
2020-02-02,Illinois,,Group,Hardware Stores,Below65,357514.0,33.0,
2020-02-02,Illinois,,Group,Hotel,Above65,10901.0,206.0,
2020-02-02,Illinois,,Group,Hotel,All,300307.0,228.0,65.0
2020-02-02,Illinois,,Group,Hotel,Below65,289406.0,229.0,
2020-02-02,Illinois,,Group,Light Rail Stations,Above65,1235.0,126.0,
2020-02-02,Illinois,,Group,Light Rail Stations,All,20548.0,87.0,19.0
