"state","retail.recreation","grocery.pharmacy","parks","transitstations","workplace","residential","date"
"Illinois",0.07,-0.31,0.13,0.08,0,-0.03,2020-03-14
"Illinois",0.08,-0.25,-0.25,0.13,0.05,-0.03,2020-03-15
"Illinois",0.1,-0.3,0.19,0.27,0.19,-0.08,2020-03-16
"Illinois",0.23,-0.17,-0.44,0.3,0.31,-0.12,2020-03-17
"Illinois",0.34,-0.08,0.34,0.39,0.35,-0.16,2020-03-18
"Illinois",0.34,-0.16,0.31,0.43,0.37,-0.17,2020-03-19
"Illinois",0.33,-0.26,0.28,0.41,0.38,-0.17,2020-03-20
"Illinois",0.46,-0.03,0.22,0.39,0.25,-0.13,2020-03-21
"Illinois",0.63,0.34,0.39,0.54,0.38,-0.14,2020-03-22
"Illinois",0.5,0.21,0.29,0.55,0.5,-0.21,2020-03-23
"Illinois",0.47,0.17,0.11,0.53,0.5,-0.22,2020-03-24
"Illinois",0.43,0.13,-0.29,0.5,0.5,-0.21,2020-03-25
"Illinois",0.47,0.15,0.28,0.55,0.5,-0.22,2020-03-26
"Illinois",0.48,0.14,0.27,0.53,0.5,-0.23,2020-03-27
"Illinois",0.53,0.17,0.35,0.5,0.35,-0.15,2020-03-28
"Illinois",0.53,0.24,0.29,0.55,0.39,-0.13,2020-03-29
"Illinois",0.43,0.15,0.05,0.54,0.5,-0.2,2020-03-30
"Illinois",0.44,0.15,0.3,0.54,0.52,-0.22,2020-03-31
"Illinois",0.41,0.07,-0.04,0.5,0.52,-0.21,2020-04-01
"Illinois",0.42,0.08,-0.15,0.52,0.52,-0.22,2020-04-02
"Illinois",0.43,0.07,-0.13,0.49,0.51,-0.22,2020-04-03
"Illinois",0.51,0.1,0.23,0.49,0.36,-0.15,2020-04-04
"Illinois",0.5,0.16,-0.24,0.52,0.39,-0.12,2020-04-05
"Illinois",0.44,0.14,0.04,0.54,0.52,-0.2,2020-04-06
"Illinois",0.41,0.1,-0.35,0.5,0.53,-0.21,2020-04-07
"Illinois",0.44,0.13,0.05,0.53,0.53,-0.22,2020-04-08
"Illinois",0.44,0.08,0.26,0.55,0.53,-0.23,2020-04-09
"Illinois",0.44,0.03,0.05,0.53,0.58,-0.24,2020-04-10
"Illinois",0.46,0.01,-0.1,0.46,0.38,-0.14,2020-04-11
"Illinois",0.64,0.34,-0.05,0.55,0.45,-0.13,2020-04-12
"Illinois",0.46,0.19,0.31,0.56,0.52,-0.21,2020-04-13
"Illinois",0.45,0.18,0.28,0.54,0.52,-0.22,2020-04-14
"Illinois",0.41,0.13,0.33,0.53,0.52,-0.22,2020-04-15
"Illinois",0.4,0.08,0.16,0.52,0.51,-0.22,2020-04-16
"Illinois",0.47,0.18,0.41,0.55,0.51,-0.24,2020-04-17
"Illinois",0.42,0.07,-0.21,0.4,0.32,-0.13,2020-04-18
"Illinois",0.37,0.14,-0.13,0.51,0.5,-0.19,2020-04-20
